Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,
01/01/2023,31,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,26,.,31,
02/01/2023,44,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,39,.,44,
03/01/2023,44,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,44,2,26,
04/01/2023,54,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,54,.,37,
05/01/2023,43,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,43,.,13,
06/01/2023,61,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,61,.,61,
07/01/2023,152,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,5,90,.,152,
08/01/2023,27,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,27,3,19,
09/01/2023,32,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,27,.,32,
10/01/2023,72,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,34,.,72,
11/01/2023,30,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,25,.,30,
12/01/2023,57,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,38,7,57,
01/02/2023,41,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,30,.,41,
02/02/2023,54,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,41,6,54,
03/02/2023,41,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,39,.,41,
04/02/2023,46,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,46,.,24,
05/02/2023,36,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,36,.,18,
06/02/2023,74,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,74,19,65,
07/02/2023,81,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,5,46,19,81,
08/02/2023,28,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,28,.,24,
