"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2023","31","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26",".","31"
"01/02/2023","41","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","30",".","41"
"01/03/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","27","3","52"
"01/04/2023","56","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","23",".","56"
"01/05/2023","30","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","25",".","30"
"01/06/2023","39","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26","1","39"
"01/07/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","22"
"01/08/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","26"
"01/09/2023","49","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","30","5","49"
"01/10/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31",".","25"
"01/11/2023","54","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","30",".","54"
"01/12/2023","39","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","32","3","39"
"01/13/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31",".","23"
"01/14/2023","35","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33",".","35"
"01/15/2023","47","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35","6","47"
"01/16/2023","42","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32",".","42"
"01/17/2023","49","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39",".","49"
"01/18/2023","44","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","34","2","44"
"01/19/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32",".","31"
"01/20/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32",".","28"
"01/21/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35","1","32"
"01/22/2023","37","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","34",".","37"
"01/23/2023","51","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","32",".","51"
"01/24/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32","3","27"
"01/25/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33",".","29"
"01/26/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","25"
"01/27/2023","33","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33","1","26"
"01/28/2023","41","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39",".","41"
"01/29/2023","47","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39",".","47"
"01/30/2023","46","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","34","5","46"
"01/31/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37",".","30"
"02/01/2023","44","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39",".","44"
"02/02/2023","54","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","41","6","54"
"02/03/2023","0","CO","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0",".",".","."
