"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2024","21","PM2.5","East HS","39-153-0017","AQS",".","6","21"
"01/02/2024","32","PM2.5","East HS","39-153-0017","AirNow",".","7","32"
"01/03/2024","56","PM2.5","East HS","39-153-0017","AirNow",".","14","56"
"01/04/2024","17","PM2.5","East HS","39-153-0017","AQS",".","5","17"
"01/05/2024","55","PM2.5","East HS","39-153-0017","AirNow",".","16","55"
"01/06/2024","57","PM2.5","East HS","39-153-0017","AirNow",".","15","57"
"01/07/2024","61","PM2.5","East HS","39-153-0017","AQS",".","18","61"
"01/08/2024","62","PM2.5","East HS","39-153-0017","AirNow",".","19","62"
"01/09/2024","23","PM2.5","East HS","39-153-0017","AirNow",".","6","23"
"01/10/2024","17","PM2.5","East HS","39-153-0017","AQS",".","5","17"
"01/11/2024","42","PM2.5","East HS","39-153-0017","AirNow",".","10","42"
"01/12/2024","40","PM2.5","East HS","39-153-0017","AirNow",".","11","40"
"01/13/2024","26","PM2.5","East HS","39-153-0017","AQS",".","10","26"
"01/14/2024","32","PM2.5","East HS","39-153-0017","AirNow",".","20","32"
"01/15/2024","37","PM2.5","East HS","39-153-0017","AirNow",".","21","37"
"01/16/2024","41","PM2.5","East HS","39-153-0017","AQS",".","18","41"
"01/17/2024","32","PM2.5","East HS","39-153-0017","AirNow",".","19","32"
"01/18/2024","51","PM2.5","East HS","39-153-0017","AirNow",".","22","51"
"01/19/2024","58","PM2.5","East HS","39-153-0017","AQS",".","13","58"
"01/20/2024","28","PM2.5","East HS","39-153-0017","AirNow",".","7","28"
"01/21/2024","42","PM2.5","East HS","39-153-0017","AirNow",".","13","42"
"01/22/2024","56","PM2.5","East HS","39-153-0017","AQS",".","25","56"
"01/23/2024","52","PM2.5","East HS","39-153-0017","AirNow",".","16","52"
"01/24/2024","37","PM2.5","East HS","39-153-0017","AirNow",".","9","37"
"01/25/2024","22","PM2.5","East HS","39-153-0017","AQS",".","6","22"
"01/26/2024","16","PM2.5","East HS","39-153-0017","AirNow",".","4","16"
"01/27/2024","24","PM2.5","East HS","39-153-0017","AirNow",".","6","24"
"01/28/2024","7","PM2.5","East HS","39-153-0017","AQS",".","2","7"
"01/29/2024","23","PM2.5","East HS","39-153-0017","AirNow",".","5","23"
"01/30/2024","49","PM2.5","East HS","39-153-0017","AirNow",".","12","49"
"01/31/2024","52","PM2.5","East HS","39-153-0017","AQS",".","14","52"
"02/01/2024","54","PM2.5","East HS","39-153-0017","AirNow",".","15","54"
"02/02/2024","37","PM2.5","East HS","39-153-0017","AirNow",".","8","37"
"02/03/2024","36","PM2.5","East HS","39-153-0017","AQS",".","9","36"
"02/04/2024","53","PM2.5","East HS","39-153-0017","AirNow",".","12","53"
"02/05/2024","53","PM2.5","East HS","39-153-0017","AirNow",".","13","53"
"02/06/2024","28","PM2.5","East HS","39-153-0017","AQS",".","9","28"
"02/07/2024","52","PM2.5","East HS","39-153-0017","AirNow",".","24","52"
"02/08/2024","50","PM2.5","East HS","39-153-0017","AQS",".","22","50"
"02/09/2024","52","PM2.5","East HS","39-153-0017","AQS",".","19","52"
"02/10/2024","53","PM2.5","East HS","39-153-0017","AQS",".","15","53"
"02/11/2024","46","PM2.5","East HS","39-153-0017","AQS",".","9","46"
"02/12/2024","55","PM2.5","East HS","39-153-0017","AQS",".","13","55"
"02/13/2024","52","PM2.5","East HS","39-153-0017","AQS",".","12","52"
"02/14/2024","21","PM2.5","East HS","39-153-0017","AQS",".","6","21"
"02/15/2024","37","PM2.5","East HS","39-153-0017","AQS",".","13","37"
"02/16/2024","24","PM2.5","East HS","39-153-0017","AQS",".","6","24"
"02/17/2024","29","PM2.5","East HS","39-153-0017","AQS",".","9","29"
"02/18/2024","41","PM2.5","East HS","39-153-0017","AQS",".","11","41"
"02/19/2024","59","PM2.5","East HS","39-153-0017","AQS",".","23","59"
"02/20/2024","69","PM2.5","East HS","39-153-0017","AQS",".","36","69"
"02/21/2024","46","PM2.5","East HS","39-153-0017","AQS",".","19","46"
"02/22/2024","70","PM2.5","East HS","39-153-0017","AQS",".","23","70"
"02/23/2024","71","PM2.5","East HS","39-153-0017","AQS",".","26","71"
"02/24/2024","15","PM2.5","East HS","39-153-0017","AQS",".","5","15"
"02/25/2024","27","PM2.5","East HS","39-153-0017","AQS",".","7","27"
"02/26/2024","48","PM2.5","East HS","39-153-0017","AQS",".","18","48"
"02/27/2024","59","PM2.5","East HS","39-153-0017","AQS",".","23","59"
"02/28/2024","38","PM2.5","East HS","39-153-0017","AQS",".","11","38"
"02/29/2024","24","PM2.5","East HS","39-153-0017","AQS",".","9","24"
"03/01/2024","33","Ozone","Lake Rockwell","39-133-1001","AQS","33","14","32"
"03/02/2024","39","PM2.5","East HS","39-153-0017","AQS","26","9","39"
"03/03/2024","53","PM2.5","East HS","39-153-0017","AQS","40","13","53"
"03/04/2024","41","PM2.5","East HS","39-153-0017","AQS","37","13","41"
"03/05/2024","36","Ozone","Lake Rockwell","39-133-1001","AQS","36","12","34"
"03/06/2024","48","PM2.5","East HS","39-153-0017","AQS","21","12","48"
"03/07/2024","26","Ozone","Lake Rockwell","39-133-1001","AQS","26","5","19"
"03/08/2024","32","Ozone","North HS","39-153-0026","AQS","32","9","30"
"03/09/2024","32","Ozone","North HS","39-153-0026","AQS","32","5","17"
"03/10/2024","38","Ozone","North HS","39-153-0026","AQS","38","4","12"
"03/11/2024","42","Ozone","Lake Rockwell","39-133-1001","AQS","42","6","18"
"03/12/2024","47","Ozone","Lake Rockwell","39-133-1001","AQS","47","15","37"
"03/13/2024","58","Ozone","Lake Rockwell","39-133-1001","AQS","58","22","56"
"03/14/2024","60","PM2.5","East HS","39-153-0017","AQS","45","23","60"
"03/15/2024","44","PM2.5","East HS","39-153-0017","AQS","35","11","44"
"03/16/2024","44","Ozone","Lake Rockwell","39-133-1001","AQS","44","10","42"
"03/17/2024","35","Ozone","Lake Rockwell","39-133-1001","AQS","35","6","18"
"03/18/2024","34","Ozone","North HS","39-153-0026","AQS","34","6","16"
"03/19/2024","36","Ozone","Lake Rockwell","39-133-1001","AQS","36","16","33"
"03/20/2024","38","Ozone","North HS","39-153-0026","AQS","38","11","26"
"03/21/2024","36","Ozone","North HS","39-153-0026","AQS","36","5","15"
"03/22/2024","34","Ozone","Lake Rockwell","39-133-1001","AQS","34","8","29"
"03/23/2024","41","Ozone","Lake Rockwell","39-133-1001","AQS","41","6","31"
"03/24/2024","43","Ozone","Lake Rockwell","39-133-1001","AQS","43","5","16"
"03/25/2024","50","Ozone","Lake Rockwell","39-133-1001","AQS","50","11","22"
"03/26/2024","41","Ozone","North HS","39-153-0026","AQS","41","7","22"
"03/27/2024","33","PM2.5","East HS","39-153-0017","AQS","27","8","33"
"03/28/2024","48","PM2.5","East HS","39-153-0017","AQS","45","13","48"
"03/29/2024","55","PM2.5","East HS","39-153-0017","AQS","44","16","55"
"03/30/2024","59","PM2.5","East HS","39-153-0017","AQS","40","19","59"
"03/31/2024","52","PM2.5","East HS","39-153-0017","AQS","37","13","52"
"04/01/2024","42","PM2.5","East HS","39-153-0017","AQS","37","10","42"
"04/02/2024","35","Ozone","Lake Rockwell","39-133-1001","AQS","35","6","23"
"04/03/2024","37","Ozone","Lake Rockwell","39-133-1001","AQS","37","5","17"
"04/04/2024","37","Ozone","Lake Rockwell","39-133-1001","AQS","37","4","18"
"04/05/2024","41","Ozone","Lake Rockwell","39-133-1001","AQS","41","4","14"
"04/06/2024","43","Ozone","Lake Rockwell","39-133-1001","AQS","43","4","12"
"04/07/2024","48","Ozone","Lake Rockwell","39-133-1001","AQS","48","7","24"
"04/08/2024","61","Ozone","Lake Rockwell","39-133-1001","AQS","61","12","36"
"04/09/2024","51","PM2.5","East HS","39-153-0017","AQS","49","18","51"
"04/10/2024","37","PM2.5","East HS","39-153-0017","AQS","32","11","37"
"04/11/2024","37","Ozone","Lake Rockwell","39-133-1001","AQS","37","10","33"
"04/12/2024","42","Ozone","Lake Rockwell","39-133-1001","AQS","42","4","11"
"04/13/2024","48","Ozone","Lake Rockwell","39-133-1001","AQS","48","6","16"
"04/14/2024","58","Ozone","Lake Rockwell","39-133-1001","AQS","58","17","33"
"04/15/2024","54","Ozone","Lake Rockwell","39-133-1001","AQS","54","12","33"
"04/16/2024","90","Ozone","Lake Rockwell","39-133-1001","AQS","90","15","33"
"04/17/2024","45","Ozone","Lake Rockwell","39-133-1001","AQS","45","17","41"
"04/18/2024","49","Ozone","Lake Rockwell","39-133-1001","AQS","49","8","22"
"04/19/2024","43","Ozone","Lake Rockwell","39-133-1001","AQS","43","7","20"
"04/20/2024","39","Ozone","Lake Rockwell","39-133-1001","AQS","39","6","18"
"04/21/2024","36","Ozone","Lake Rockwell","39-133-1001","AQS","36","6","23"
"04/22/2024","49","Ozone","Lake Rockwell","39-133-1001","AQS","49","16","42"
"04/23/2024","50","Ozone","Lake Rockwell","39-133-1001","AQS","50","18","35"
"04/24/2024","36","Ozone","Lake Rockwell","39-133-1001","AQS","36","9","35"
"04/25/2024","43","Ozone","Lake Rockwell","39-133-1001","AQS","43","7","22"
"04/26/2024","51","Ozone","Lake Rockwell","39-133-1001","AQS","51","16","36"
"04/27/2024","53","PM2.5","East HS","39-153-0017","AQS","48","19","53"
"04/28/2024","53","PM2.5","East HS","39-153-0017","AQS","45","19","53"
"04/29/2024","48","Ozone","Lake Rockwell","39-133-1001","AQS","48","18","41"
"04/30/2024","48","Ozone","Lake Rockwell","39-133-1001","AQS","48","9","21"
"05/01/2024","61","Ozone","Lake Rockwell","39-133-1001","AQS","61","19","35"
"05/02/2024","80","Ozone","Lake Rockwell","39-133-1001","AQS","80","17","33"
"05/03/2024","51","PM2.5","East HS","39-153-0017","AQS","45","21","51"
"05/04/2024","39","PM2.5","East HS","39-153-0017","AQS","36","12","39"
"05/05/2024","44","Ozone","Lake Rockwell","39-133-1001","AQS","44","13","41"
"05/06/2024","44","Ozone","Lake Rockwell","39-133-1001","AQS","44","11","34"
"05/07/2024","46","Ozone","Lake Rockwell","39-133-1001","AQS","46","11","27"
"05/08/2024","51","Ozone","Lake Rockwell","39-133-1001","AQS","51","15","25"
"05/09/2024","34","Ozone","Lake Rockwell","39-133-1001","AQS","34","7","17"
"05/10/2024","34","Ozone","Lake Rockwell","39-133-1001","AQS","34","10","29"
"05/11/2024","34","Ozone","North HS","39-153-0026","AQS","34","9","33"
"05/12/2024","41","Ozone","Lake Rockwell","39-133-1001","AQS","41","6","23"
"05/13/2024","58","Ozone","Lake Rockwell","39-133-1001","AQS","58","14","33"
"05/14/2024","47","PM2.5","East HS","39-153-0017","AQS","41","17","47"
"05/15/2024","47","PM2.5","East HS","39-153-0017","AQS","41","12","47"
"05/16/2024","48","Ozone","North HS","39-153-0026","AQS","48","13","45"
"05/17/2024","40","Ozone","North HS","39-153-0026","AQS","40","12","33"
"05/18/2024","61","Ozone","Lake Rockwell","39-133-1001","AQS","61","12","47"
"05/19/2024","100","Ozone","North HS","39-153-0026","AQS","100","17","54"
"05/20/2024","90","Ozone","Lake Rockwell","39-133-1001","AQS","90","19","48"
"05/21/2024","77","Ozone","Lake Rockwell","39-133-1001","AQS","77","18","53"
"05/22/2024","44","PM2.5","East HS","39-153-0017","AQS","44","17","44"
"05/23/2024","74","Ozone","Lake Rockwell","39-133-1001","AQS","74","17","33"
"05/24/2024","105","Ozone","Lake Rockwell","39-133-1001","AQS","105","19","52"
"05/25/2024","64","Ozone","North HS","39-153-0026","AQS","64","15","42"
"05/26/2024","48","Ozone","Lake Rockwell","39-133-1001","AQS","48","14","42"
"05/27/2024","44","Ozone","Lake Rockwell","39-133-1001","AQS","44","10","26"
"05/28/2024","44","Ozone","Lake Rockwell","39-133-1001","AQS","44","7","21"
"05/29/2024","34","Ozone","Lake Rockwell","39-133-1001","AQS","34","9","27"
"05/30/2024","45","Ozone","Lake Rockwell","39-133-1001","AQS","45","9","28"
"05/31/2024","87","Ozone","Lake Rockwell","39-133-1001","AQS","87","16","51"
"06/01/2024","80","Ozone","Lake Rockwell","39-133-1001","AQS","80","17","52"
"06/02/2024","48","PM2.5","East HS","39-153-0017","AQS","37","11","48"
"06/03/2024","51","PM2.5","East HS","39-153-0017","AQS","44","15","51"
"06/04/2024","52","PM2.5","East HS","39-153-0017","AQS","47","19","52"
"06/05/2024","44","PM2.5","East HS","39-153-0017","AQS","36","15","44"
"06/06/2024","48","Ozone","Lake Rockwell","39-133-1001","AQS","48","19","26"
"06/07/2024","39","Ozone","Lake Rockwell","39-133-1001","AQS","39","17","21"
"06/08/2024","44","Ozone","Lake Rockwell","39-133-1001","AQS","44","13","29"
"06/09/2024","42","Ozone","Lake Rockwell","39-133-1001","AQS","42","7","16"
"06/10/2024","32","PM2.5","East HS","39-153-0017","AQS","27","11","32"
"06/11/2024","46","PM2.5","East HS","39-153-0017","AQS","42","15","46"
"06/12/2024","87","Ozone","Lake Rockwell","39-133-1001","AQS","87","18","35"
"06/13/2024","90","Ozone","Lake Rockwell","39-133-1001","AQS","90","20","39"
"06/14/2024","54","Ozone","Lake Rockwell","39-133-1001","AQS","54","18","39"
"06/15/2024","37","Ozone","Lake Rockwell","39-133-1001","AQS","37","9","27"
"06/16/2024","61","Ozone","Lake Rockwell","39-133-1001","AQS","61","15","43"
"06/17/2024","58","PM2.5","East HS","39-153-0017","AQS","46","22","58"
"06/18/2024","55","PM2.5","East HS","39-153-0017","AQS","45","19","55"
"06/19/2024","58","PM2.5","East HS","39-153-0017","AQS","50","22","58"
"06/20/2024","71","Ozone","North HS","39-153-0026","AQS","71","24","64"
"06/21/2024","108","Ozone","Lake Rockwell","39-133-1001","AQS","108","25","62"
"06/22/2024","93","Ozone","North HS","39-153-0026","AQS","93","25","62"
"06/23/2024","44","PM2.5","East HS","39-153-0017","AQS","44","12","44"
"06/24/2024","43","Ozone","North HS","39-153-0026","AQS","43","14","42"
"06/25/2024","50","Ozone","Lake Rockwell","39-133-1001","AQS","50","16","46"
"06/26/2024","39","Ozone","Lake Rockwell","39-133-1001","AQS","39","12","34"
"06/27/2024","39","Ozone","North HS","39-153-0026","AQS","39","9","26"
"06/28/2024","64","Ozone","North HS","39-153-0026","AQS","64","12","36"
"06/29/2024","56","PM2.5","East HS","39-153-0017","AQS","38","13","56"
"06/30/2024","32","Ozone","Lake Rockwell","39-133-1001","AQS","32","8","29"
"07/01/2024","34","Ozone","Lake Rockwell","39-133-1001","AQS","34","6","14"
"07/02/2024","49","Ozone","North HS","39-153-0026","AQS","49","12","25"
"07/03/2024","49","Ozone","Lake Rockwell","39-133-1001","AQS","49","13","32"
"07/04/2024","43","PM2.5","East HS","39-153-0017","AQS","39","14","43"
"07/05/2024","52","PM2.5","East HS","39-153-0017","AQS","45","13","52"
