"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2025","52","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AirNow","5","46","15","52","24"
"01/02/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","5","51","14","39","20"
"01/03/2025","58","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","3","54","24","58","25"
"01/04/2025","50","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","2","50","9","44","7"
"01/05/2025","43","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","3","43","6","36","16"
"01/06/2025","52","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","3","42","15","52","16"
"01/07/2025","59","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","5","44","16","59","27"
"01/08/2025","55","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","8","51","15","55","38"
"01/09/2025","44","Ozone","Fort Collins - CSU - S. Mason","08-069-1004","AQS","5","44","2","6","11"
"01/10/2025","46","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","8","46","15","37","33"
"01/11/2025","42","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","8","42","3","7","31"
"01/12/2025","38","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","3","38","1","4","12"
"01/13/2025","41","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","7","41",".","17","25"
"01/14/2025","43","Ozone","FORT COLLINS - WEST","08-069-0011","AQS","5","43","10","22","25"
"01/15/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","7","51","19","31","29"
"01/16/2025","51","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","8","51","32","51","30"
"01/17/2025","49","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","8","49","23","36","28"
"01/18/2025","38","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","3","38","5","19","16"
"01/19/2025","41","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","5","41","8","38","28"
"01/20/2025","46","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","3","46","7","34","30"
"01/21/2025","48","Ozone","FORT COLLINS - WEST","08-069-0011","AQS","6","48","13","46","34"
"01/22/2025","45","Ozone","FORT COLLINS - WEST","08-069-0011","AQS","2","45","2","7","8"
"01/23/2025","45","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","6","45","6","16","34"
"01/24/2025","45","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","6","45","13","26","30"
"01/25/2025","41","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","2","41","3","15","6"
"01/26/2025","55","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","5","47","12","55","23"
"01/27/2025","55","PM2.5","Bethke","08-069-0016","AQS","7","47",".","55","31"
"01/28/2025","48","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","11","48",".","42","30"
"01/29/2025","44","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","13","44",".","36","27"
"01/30/2025","47","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","7","47",".","17","24"
"01/31/2025","48","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AQS","8","48",".","31","31"
"02/01/2025","45","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","7","45",".","16","11"
"02/02/2025","42","Ozone","FORT COLLINS - WEST","08-069-0011","AQS","5","42","5","14","17"
"02/03/2025","44","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","44","15","29","11"
"02/04/2025","62","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","3","44","29","62","16"
"02/05/2025","52","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","3","44","19","52","12"
"02/06/2025","50","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","50","16","28","15"
"02/07/2025","48","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","48","16","32","19"
"02/08/2025","46","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","2","46","9","36","7"
"02/09/2025","54","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","2","54","7","27","12"
"02/10/2025","47","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","47","8","24","10"
"02/11/2025","57","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","2","38","17","57","6"
"02/12/2025","48","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","48","6","34","19"
"02/13/2025","63","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","6","51","19","63","27"
"02/14/2025","59","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","6","44","18","59","26"
"02/15/2025","61","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","6","48","17","61","24"
"02/16/2025","58","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","3","49","14","58","24"
"02/17/2025","60","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","3","48","15","60","18"
"02/18/2025","58","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AQS","3","44","14","58","7"
"02/19/2025","55","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AirNow","3","47","13","55","11"
"02/20/2025","60","PM2.5","FORT COLLINS - CSU - Edison","08-069-0009","AirNow","3","46","16","60","12"
"02/21/2025","49","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","49","8","41","23"
"02/22/2025","58","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","5","58","13","43","23"
"02/23/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","5","51","7","31","18"
"02/24/2025","47","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","47","5","11","15"
"02/25/2025","71","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","3","71","8","11","11"
"02/26/2025","71","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","2","71","5","6","10"
"02/27/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","7","51","20","25","19"
"02/28/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","7","51","19","29","25"
"03/01/2025","58","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow","5","58","18","34","."
"03/02/2025","58","Ozone","FORT COLLINS - WEST","08-069-0011","AirNow",".","58","19","42","."
"03/03/2025","50","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","50","28","44","."
"03/04/2025","44","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","44","6","13","."
"03/05/2025","45","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","45","12","28","."
"03/06/2025","48","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","48","14","36","."
"03/07/2025","41","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","41","6","25","."
"03/08/2025","48","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","48","10","34","."
"03/09/2025","50","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","50","10","29","."
"03/10/2025","49","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","49","16","26","."
"03/11/2025","64","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","64","29","35","."
"03/12/2025","67","Ozone","FORT COLLINS - WEST","08-069-0011","AirNow",".","67","26","39","."
"03/13/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","51","22","36","."
"03/14/2025","63","PM2.5","Bethke","08-069-0016","AirNow",".","49","6","63","."
"03/15/2025","46","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","46","2","6","."
"03/16/2025","46","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","46","5","8","."
"03/17/2025","51","Ozone","FORT COLLINS - WEST","08-069-0011","AirNow",".","51","14","16","."
"03/18/2025","49","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","49","7","13","."
"03/19/2025","49","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","49","2","7","."
"03/20/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","51","20","29","."
"03/21/2025","49","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","49","6","8","."
"03/22/2025","49","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","49","8","14","."
"03/23/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","51","5","11","."
"03/24/2025","40","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","40","7","10","."
"03/25/2025","44","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","44","10","13","."
"03/26/2025","61","Ozone","FORT COLLINS - WEST","08-069-0011","AirNow",".","61","26","44","."
"03/27/2025","50","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","50","31","38","."
"03/28/2025","54","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","54","23","35","."
"03/29/2025","48","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","48","6","24","."
"03/30/2025","58","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","58","6","28","."
"03/31/2025","61","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","61","14","52","."
"04/01/2025","67","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","67","5","13","."
"04/02/2025","51","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","51","4","14","."
"04/03/2025","47","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","47","5","15","."
"04/04/2025","45","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","45","5","27","."
"04/05/2025","47","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","47","8","44","."
"04/06/2025","61","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","61","10","29","."
"04/07/2025","71","Ozone","FORT COLLINS - WEST","08-069-0011","AirNow",".","71","19","40","."
"04/08/2025","58","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","58","19","29","."
"04/09/2025","93","Ozone","FORT COLLINS - WEST","08-069-0011","AirNow",".","93","31","55","."
"04/10/2025","77","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","77","35","54","."
"04/11/2025","100","Ozone","FORT COLLINS - WEST","08-069-0011","AirNow",".","100","38","55","."
"04/12/2025","84","Ozone","Bethke","08-069-0016","AirNow",".","84","20","46","."
"04/13/2025","67","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","67","17","26","."
"04/14/2025","71","Ozone","Rocky Mountain NP - Long's Peak","08-069-0007","AirNow",".","71","12","29","."
